date,US
8/12/2012,20.47062743
8/13/2012,20.53060958
8/14/2012,18.67275916
8/15/2012,18.42572333
8/16/2012,18.91899829
8/17/2012,18.79211188
8/18/2012,19.34477024
8/19/2012,18.45513061
8/20/2012,18.23980373
8/21/2012,17.66782071
8/22/2012,17.62274636
8/23/2012,13.80864628
8/24/2012,13.46302884
8/25/2012,12.65478799
8/26/2012,11.93934683
8/27/2012,16.42799454
8/28/2012,16.17183841
8/29/2012,16.82424545
8/30/2012,17.89077698
8/31/2012,17.71688478
9/1/2012,18.05379014
9/2/2012,17.946083
9/3/2012,16.99998416
9/4/2012,17.70108179
9/5/2012,17.49988024
9/6/2012,17.45285472
9/7/2012,17.90688144
9/8/2012,17.45640037
9/9/2012,17.06165641
9/10/2012,17.41148831
9/11/2012,17.68872233
9/12/2012,18.27877694
9/13/2012,18.6577995
9/14/2012,18.479501
9/15/2012,18.1288734
9/16/2012,17.87580206
9/17/2012,18.75004416
9/18/2012,19.50122433
9/19/2012,20.27934823
9/20/2012,20.84421826
9/21/2012,20.6874754
9/22/2012,20.42444242
9/23/2012,19.66795267
9/24/2012,19.32847344
9/25/2012,19.86863955
9/26/2012,20.43085557
9/27/2012,20.59545473
9/28/2012,20.87900388
9/29/2012,19.9383827
9/30/2012,18.97114654
10/1/2012,20.30477452
10/2/2012,21.26449036
10/3/2012,22.43084517
10/4/2012,23.16788466
10/5/2012,23.46926866
10/6/2012,23.00053405
10/7/2012,22.42422955
10/8/2012,22.52250292
10/9/2012,22.97244604
10/10/2012,23.37486686
10/11/2012,23.60568884
10/12/2012,23.34988744
10/13/2012,22.52970282
10/14/2012,21.79011887
10/15/2012,22.60644618
10/16/2012,22.64533228
10/17/2012,23.31485092
10/18/2012,24.77715905
10/19/2012,24.99608823
10/20/2012,25.35942782
10/21/2012,24.71505324
10/22/2012,22.90424555
10/23/2012,22.22022713
10/24/2012,22.04253602
10/25/2012,20.65619909
10/26/2012,17.7554399
10/27/2012,15.77810772
