"DC"
-12.9920249894388
-13.3172052374817
-13.2300940548239
-13.2385525733421
-13.3011165122408
-13.3271784647337
-13.5848878905526
-13.2974947826393
-13.655534194059
-12.8821055310208
-13.47749309772
-13.6986024106353
-13.6626611629394
-13.5878644396394
-13.4399343232607
-13.3700799081369
-13.6551792419523
-13.7906957500051
-13.4911363659409
-13.4898109050116
-13.3412861480284
-13.4669939406221
-13.4359082441488
-13.3005586836355
-13.1324171226137
-13.5881486556126
-13.5203257299656
-12.9310877523228
-13.2566831344216
-13.0891388159348
-12.5042008157328
-12.4690506059904
-12.3685144725573
-12.1066239396347
-11.7364053699676
-10.726986056009
-11.1748980214646
-11.7901989045215
-12.3557356221176
-12.6001627120567
-12.6948789274742
-12.8683065705586
-13.022938655706
-12.849273166787
-13.087071681242
-13.1920141233936
-13.1803732223247
-13.5247742260069
-13.6628271797465
-14.1712293324186
-13.9356457671872
-14.0016423837682
-14.1050496346241
-14.3427072709572
-14.7069828354173
-14.2535330817689
-13.7385465148724
-13.6644266618796
-13.3005602453228
-13.5348905727382
-13.1712071762123
-13.2756295011372
-13.333325853906
-13.6169426710707
-13.2623675000341
-13.1055044771341
-12.2340593388694
-12.0168956437792
-11.9991363497803
-11.9502367511574
-12.3007720676304
-12.5914995381768
-12.5705577605259
-12.7194734321976
-12.9185627071963
-13.264224753222
-13.4842241516513
-13.1192330162657
-13.4040231424336
-13.3447835337982
-13.2187171076776
-13.1641255744558
-13.089860230445
-12.9842906644006
-13.9816517712376
-13.6308126599066
-12.9758002258167
-13.0289433295776
-13.0720765938586
-12.9139056979648
-13.3658264058336
-13.8351563399246
-13.348637015174
-13.3833343640185
-12.8707078847564
-13.0304340710931
-12.3194730111343
-12.0711576747004
-10.5693415372872
-10.7578559743697
-11.305981694484
-11.8654798365109
-12.1787149229137
-11.8628771259913
-12.3834582474135
-13.1192499356707
-12.7428113341708
-13.2440398895785
-12.951072651411
-13.7424646984922
-13.0512491427286
-13.3933105492709
-12.7280902426929
-13.7591056890151
-12.8971713807737
-13.32346661567
-12.5738566546706
-13.698263597344
-12.8490468281979
-13.1506606147
-12.7798525358035
-13.4777895120201
-12.6017816505884
-13.1499572930891
-13.8688766650904
-12.0725435386173
-12.5229840051042
-12.7032874926271
-12.7032874926271
-13.0602241687596
-12.0051319981754
-12.073495592647
-13.3149352272329
-13.7577730352967
-13.3889027076096
-13.141975859954
-12.6292913466596
-12.4896089480804
-13.0231815122898
-12.3881592744458
-12.8779342532947
-13.3871674835488
-13.0686875610067
-13.3526819821623
-13.9348190207598
-13.2859657072292
-13.5770183479856
-13.6410116301301
-13.213006644241
-13.3114542621773
-13.3364338664609
-13.1212566369879
-13.5404572328044
-13.234506762306
-13.7857581384468
-13.1167979576076
-13.1313547384562
-11.9433605345542
-13.7624389265155
-13.103159383523
-12.8279067906133
-13.0134073130503
-13.0745135470388
-13.1960508075086
-13.0116274142404
-12.4856267755698
-12.5002700222172
-12.4816237413656
-12.2568895243665
-12.6938435396429
-12.8731841712511
-12.9384790000422
-13.0855720605064
-12.9041309609864
-12.9316223875572
-13.6761707282942
-13.3145540519934
-13.7315914945124
