"NM"
-13.379872464989
-13.2862258539384
-13.0446465373123
-13.2531762250389
-13.5881902963266
-13.4527124772559
-13.394577688438
-12.821620156074
-13.1437412339634
-12.8880082724901
-12.8830318883935
-13.0663698676877
-13.0277430346077
-13.3026932298491
-12.7090476925376
-13.1391572709419
-13.1387585781899
-13.3173858727034
-13.5488301245794
-13.6301105126446
-12.9251407084385
-13.0457822253915
-12.8054993302392
-13.3077889451014
-12.8290212346286
-13.0674975819688
-12.7756251133588
-13.2106533327216
-12.778430207883
-12.6387776913026
-12.6019087444263
-12.3758585470838
-12.3819653799034
-12.1432100155984
-10.8317734599734
-11.3140059152649
-11.7248001900394
-11.9079499576718
-12.4717515643026
-12.5384067009274
-12.841762016523
-13.0704149537148
-13.1613039033799
-13.6305041677961
-13.2810906401103
-13.5143851947046
-13.7933210917057
-13.8782819978998
-13.7494618449395
-13.6538508994402
-13.4220388111126
-13.8665628342468
-14.3957748960368
-13.7915958677138
-13.8012856621619
-13.4000134739054
-13.5013747279809
-13.746888213062
-13.0988037949151
-13.1853173228692
-13.3360482831017
-13.2647392916805
-14.0409766545255
-13.4814362994496
-12.9597089485308
-12.2293187695848
-11.9205991107236
-11.4270583808667
-11.6417439698688
-11.7733588632223
-11.9935701365612
-12.251423223532
-12.601827954145
-12.5726400188304
-13.0862889139961
-12.5641173926633
-13.5307312263354
-13.3455723454467
-13.227347632041
-13.5980560489989
-12.7662432946992
-12.9693398354518
-13.2957462850589
-12.9900597946716
-12.9611277343432
-13.4610712619946
-13.05456561738
-12.6287835679589
-13.7929930420241
-12.7018053668329
-12.5347610955026
-12.8422748291037
-13.1755514467836
-12.9764741743759
-13.069159595229
-12.5762573092932
-12.2692275498503
-11.7924288391132
-10.6851184866419
-10.8791171364257
-11.0808188927363
-11.6094039305943
-11.5704881740686
-11.9254603222554
-12.1431933246983
-12.2351536581009
-11.9722387941622
-12.5705139461196
-12.4742664123636
-13.9816250282512
-12.8525374403986
-12.2919947127706
-12.493435057521
-12.7874791322956
-13.3981775987944
-13.0059341978973
-12.7955518587454
-13.3015402676405
-13.7469476990507
-13.5885891888847
-12.9660767514006
-12.4821428369242
-13.4673195839506
-12.7935626273839
-12.8996935101804
-12.7245948088455
-13.0628184836419
-11.9368052045514
-12.6173545342076
-12.7813694564361
-12.9570905209199
-12.6515890174191
-12.1829141865242
-12.9359849565001
-13.5847436321863
-12.8101062629605
-12.7394969221477
-12.8638996550132
-12.4122688025461
-12.1352547838684
-12.3754542894361
-12.3560321438997
-12.5006696363104
-12.5923194935664
-13.0316272539695
-13.1138847897852
-13.1072861640963
-13.5514333818464
-13.9739003484268
-13.4532949869378
-13.5275521806772
-13.9050326249768
-13.4565289183805
