"week","year","childfever","coldvsflu","cough","delsymcoughsuppressant","delsymcoughsyrup","drycough","feverrashinfant","flu","fluincubationperiod","flumedicine","flusymptoms","fluvscold","influenza","influenzab","influenzabsymptoms","influenzasymptoms","lowgradefever","naturalcoughremedies","productivecough","stomachfluincubationperiod","swineflu","tamiflusideeffects","therafluingredients","vickscoughdrops","wetcough"
1,2012,0.33521552,1.0416544152,7.5324155352,1.7143512638,0.3481082574,4.2080815582,0,16.70983257,0.5119113024,0.669224832,34.222161514,0.3180022076,13.705193552,1.6063772046,0.4098144184,2.941392453,2.054164158,0.4836238202,0.5454263302,1.5067110364,5.4417551254,0.6975620986,1.1035844406,0.1526259986,0.3873309778
2,2012,0.232499098,0.517325320428571,9.10458605171429,1.13135257914286,0.366417484,4.44251223371429,0.0534693145714286,17.9785272171429,0.233319345142857,0.359436282714286,31.3725726271429,0.460671947142857,15.4495873457143,1.18565646685714,0.167250669,2.63584171942857,2.45246938457143,0.757123213,0.402783781571429,1.15906155014286,5.78314155542857,0.480755629857143,0.916217733,0.363657489,0.347411700714286
3,2012,0.263610757,0.812354075857143,8.51094692285714,1.26804868885714,0.448071700857143,3.91061084757143,0,16.99264071,0.190415766,0.443463022714286,31.0213479971429,0.398337522,16.7128259457143,1.70829648014286,0.152491010142857,2.58739376342857,2.23950243657143,0.713776790857143,0.652096467,1.66641105471429,5.58726824514286,0.561979763714286,0.870784384285714,0.153401383714286,0.323923646285714
4,2012,0.214056380571429,0.861059042714286,8.19230518885714,1.25218348242857,0.194326933142857,4.36229424442857,0.0281394372857143,16.5761569185714,0.208661618428571,0.474053408571429,29.7673976342857,0.388309543571429,18.5252677571429,1.64349968842857,0.513033530857143,2.748301145,2.31029976342857,0.442775343,0.470142251571429,1.41282068657143,5.45606554471429,0.809217834,0.75660718,0.231996073285714,0.552127224714286
5,2012,0.276248083857143,0.921749366428571,8.18335593942857,1.082556083,0.354986095142857,4.21456547257143,0.0278210404285714,17.1001520985714,0.202323777428571,0.242298684285714,30.0440517485714,0.628898658,16.6673698228571,1.73235477657143,0.451588504142857,2.88926016971429,2.46542281928571,0.665593936142857,0.746784157571429,1.06723251571429,6.313190875,0.920224618571429,0.631649494285714,0.250303180857143,0.452277445571429
6,2012,0.192906718714286,0.752902594,8.02829014628571,1.58476174914286,0.275568148857143,3.65642604542857,0.016086064,15.9710939985714,0.251873881714286,0.306645845285714,29.7607237457143,0.517659964,16.8104994442857,2.328621511,0.454614218142857,3.621107264,2.69704594271429,0.489561191142857,0.598385201428571,1.13214333928571,6.35602586657143,1.03207469371429,0.885733937142857,0.293054134142857,0.283865056714286
7,2012,0.240024162714286,0.677453402857143,6.87877667157143,1.64762553642857,0.325299185857143,3.29101726657143,0.00545106457142857,17.99945399,0.366661393428571,0.415473351857143,30.3515320071429,0.370409254571429,18.15003587,2.55145683657143,0.341914748428571,3.58756728457143,2.508294708,0.498553434428571,0.596301297428571,0.649976238428571,4.69307047185714,0.993898831142857,0.736873102285714,0.143171124857143,0.186350125714286
8,2012,0.310961622285714,0.587389681571429,7.016282927,0.995347303142857,0.261547275571429,3.06062631757143,0.0101914091428571,16.8489989885714,0.419622920428571,0.377399625,32.3756237528571,0.604716955571429,16.5124172085714,4.033459263,0.610295070857143,3.42840497085714,1.80461764871429,0.49958024,0.508125484142857,0.742970830285714,4.41710381542857,1.29408697957143,0.536091552142857,0.0603482932857143,0.377460044857143
9,2012,0.299810894142857,0.592092623428571,6.95527147228571,1.06757779071429,0.0955552212857143,2.95326427785714,0.033077568,17.3343504528571,0.339537962857143,0.369953417285714,30.95451745,0.373062801571429,16.0226732628571,4.13136991242857,0.785596270285714,3.90253758342857,1.95058082028571,0.497190436285714,0.696440337428571,0.544655303857143,5.15283260971429,1.77344729771429,0.654054938571429,0.11443809,0.291182495571429
10,2012,0.168603929714286,0.457419637571429,6.65565024371429,0.837843876142857,0.18994429,3.34048828742857,0.0263273982857143,15.8205696242857,0.549204764,0.404930052142857,29.1211953171429,0.342955488571429,17.2905898957143,5.57989705171429,1.060427853,4.16789023171429,1.65649853314286,0.725355155714286,0.469764336857143,0.468175243714286,5.38884324128571,2.19622025771429,0.452926743428571,0.115186778285714,0.285369084857143
11,2012,0.220523848714286,0.416540333285714,6.482164641,0.803748156857143,0.244570952857143,2.85594237285714,0.00190943857142857,15.21097,0.455032622428571,0.464252495,27.2104835628571,0.492395726428571,17.4850134385714,7.68028347442857,1.064381278,4.746494038,1.75886933314286,0.442408036285714,0.577007225571429,0.622535345428571,4.81208354757143,2.63067362371429,0.375041577285714,0.104215092285714,0.342782636285714
12,2012,0.263572806428571,0.245710382285714,6.54655948714286,0.677063297857143,0.330704594,2.91382028585714,0.0276193041428571,15.2501509157143,0.658478067571429,0.272411182142857,24.8639228171429,0.182540545,18.11608524,9.40294336514286,1.33410746057143,4.85023377728571,1.50245010571429,0.408634703428571,0.499760904571429,0.486306442428571,5.40513914742857,2.37958829828571,0.334216532428571,0.084647984,0.374762836
13,2012,0.0646942567142857,0.428936204,7.11793322557143,0.803020368571429,0.200689611142857,3.99093573557143,0.0235986031428571,15.0400784628571,0.308513367571429,0.309970222714286,23.6479875928571,0.242332287285714,19.6721617428571,6.72067798114286,1.08337797785714,4.46533169357143,1.95871004542857,0.436404796142857,0.529727180571429,0.467987661142857,6.96292974157143,2.33858178414286,0.457913465571429,0.0897911215714286,0.464201505142857
